yyyymmdd,data,ano,year,month,day,time,time_difference,ltm
20160308,20.1,0.8481973434535099,2016,3,8,78959,1.0,19.25180265654649
20160309,20.8,1.472485768500949,2016,3,9,78960,1.0,19.327514231499052
20160310,13.4,-5.985009487666035,2016,3,10,78961,1.0,19.385009487666036
20160311,11.9,-7.559772296015177,2016,3,11,78962,1.0,19.459772296015178
20160312,13.600000000000001,-5.953130929791271,2016,3,12,78963,1.0,19.553130929791273
20160313,15.8,-3.8250474383301736,2016,3,13,78964,1.0,19.625047438330174
20160314,15.3,-4.41271347248577,2016,3,14,78965,1.0,19.71271347248577
20160315,14.8,-5.008538899430743,2016,3,15,78966,1.0,19.808538899430744
20160316,15.3,-4.590512333965844,2016,3,16,78967,1.0,19.890512333965845
20160317,16.5,-3.459392789373819,2016,3,17,78968,1.0,19.95939278937382
20160318,19.5,-0.521062618595824,2016,3,18,78969,1.0,20.021062618595824
20160319,22.400000000000002,2.3028462998102484,2016,3,19,78970,1.0,20.097153700189754
20160320,19.0,-1.1673624288425053,2016,3,20,78971,1.0,20.167362428842505
20160321,17.1,-3.138140417457304,2016,3,21,78972,1.0,20.238140417457306
20160322,16.6,-3.71783681214421,2016,3,22,78973,1.0,20.31783681214421
20160323,18.400000000000002,-2.0189753320683117,2016,3,23,78974,1.0,20.418975332068314
20160324,15.3,-5.255787476280833,2016,3,24,78975,1.0,20.555787476280834
20160325,13.700000000000001,-7.000948766603409,2016,3,25,78976,1.0,20.70094876660341
20160326,15.8,-5.060721062618597,2016,3,26,78977,1.0,20.860721062618598
20160327,17.3,-3.730929791271347,2016,3,27,78978,1.0,21.030929791271348
20160328,16.900000000000002,-4.2647058823529385,2016,3,28,78979,1.0,21.16470588235294
20160329,17.7,-3.5806451612903274,2016,3,29,78980,1.0,21.280645161290327
20160330,20.0,-1.4020872865275145,2016,3,30,78981,1.0,21.402087286527514
20160331,21.5,0.0066413662239099835,2016,3,31,78982,1.0,21.49335863377609
20160401,21.900000000000002,0.32637571157495415,2016,4,1,78983,1.0,21.573624288425048
20160402,21.3,-0.36413662239089106,2016,4,2,78984,1.0,21.66413662239089
20160403,23.0,1.2738140417457302,2016,4,3,78985,1.0,21.72618595825427
20160404,23.6,1.8168880455407965,2016,4,4,78986,1.0,21.783111954459205
20160405,22.3,0.4343453510436426,2016,4,5,78987,1.0,21.865654648956358
20160406,23.1,1.1130929791271313,2016,4,6,78988,1.0,21.98690702087287
20160407,23.900000000000002,1.805502846299813,2016,4,7,78989,1.0,22.09449715370019
20160408,25.3,3.099620493358632,2016,4,8,78990,1.0,22.20037950664137
20160409,25.700000000000003,3.372296015180268,2016,4,9,78991,1.0,22.327703984819735
20160410,23.3,0.8411764705882341,2016,4,10,78992,1.0,22.458823529411767
20160411,21.5,-1.0876660341555997,2016,4,11,78993,1.0,22.5876660341556
20160412,20.3,-2.4015180265654656,2016,4,12,78994,1.0,22.701518026565466
20160413,21.8,-1.0009487666034182,2016,4,13,78995,1.0,22.80094876660342
20160414,23.1,0.2077798861480069,2016,4,14,78996,1.0,22.892220113851995
20160415,21.1,-1.8867172675521822,2016,4,15,78997,1.0,22.986717267552184
20160416,24.700000000000003,1.611195445920302,2016,4,16,78998,1.0,23.0888045540797
20160417,25.900000000000002,2.696204933586337,2016,4,17,78999,1.0,23.203795066413665
20160418,23.1,-0.22485768500948922,2016,4,18,79000,1.0,23.32485768500949
20160419,20.5,-2.9364326375711585,2016,4,19,79001,1.0,23.43643263757116
20160420,21.6,-1.9535104364326372,2016,4,20,79002,1.0,23.55351043643264
20160421,24.6,0.9368121442125243,2016,4,21,79003,1.0,23.663187855787477
20160422,23.700000000000003,-0.08975332068311204,2016,4,22,79004,1.0,23.789753320683115
20160423,24.900000000000002,0.9629981024667948,2016,4,23,79005,1.0,23.937001897533207
20160424,24.400000000000002,0.31480075901328064,2016,4,24,79006,1.0,24.08519924098672
20160425,26.0,1.795445920303603,2016,4,25,79007,1.0,24.204554079696397
20160426,27.200000000000003,2.8908918406072104,2016,4,26,79008,1.0,24.309108159392792
20160427,26.8,2.3876660341556004,2016,4,27,79009,1.0,24.4123339658444
20160428,26.0,1.4711574952561648,2016,4,28,79010,1.0,24.528842504743835
20160429,24.1,-0.5394686907020869,2016,4,29,79011,1.0,24.63946869070209
20160430,22.5,-2.260151802656548,2016,4,30,79012,1.0,24.760151802656548
